Evento,Año,Género,Medalla,Nombre,Apellido,Pais,Arrancada,Dos tiempos,Total,Fecha,País,Resultados
+109 kg (11.04),2021,Masculino,Plata,Gor,Minasian,Armenia,216.0,248.0,464.0,2021,Armenia,216 + 248 = 464
45 kg (03.04),2021,Femenino,Plata,Ivana,Petrova,Bulgaria,67.0,85.0,152.0,2021,Bulgaria,67 + 85 = 152
49 kg (03.04),2021,Femenino,Plata,Kristina,Sobol,Rusia,85.0,96.0,181.0,2021,Rusia,85 + 96 = 181
55 kg (04.04),2021,Femenino,Plata,Svetlana,Yershova,Rusia,88.0,112.0,200.0,2021,Rusia,88 + 112 = 200
59 kg (05.04),2021,Femenino,Plata,Olga,Tio,Rusia,95.0,115.0,210.0,2021,Rusia,95 + 115 = 210
64 kg (06.04),2021,Femenino,Plata,Sarah,Davies,Reino Unido,101.0,129.0,230.0,2021,Reino Unido,101 + 129 = 230
71 kg (07.04),2021,Femenino,Plata,Alessia,Durante,Italia,97.0,122.0,219.0,2021,Italia,97 + 122 = 219
76 kg (08.04),2021,Femenino,Plata,Yana,Sotiyeva,Rusia,112.0,134.0,246.0,2021,Rusia,112 + 134 = 246
81 kg (09.04),2021,Femenino,Plata,Gaëlle,Nayo-Ketchanke,Francia,100.0,131.0,231.0,2021,Francia,100 + 131 = 231
87 kg (10.04),2021,Femenino,Plata,Elena,Cîlcic,Moldavia,107.0,138.0,245.0,2021,Moldavia,107 + 138 = 245
+87 kg (11.04),2021,Femenino,Plata,Anastasiya,Lysenko,Ucrania,116.0,136.0,252.0,2021,Ucrania,116 + 136 = 252
55 kg (29.05),2022,Masculino,Plata,Josué,Brachi García,España,115.0,141.0,256.0,2022,España,115 + 141 = 256
61 kg (29.05),2022,Masculino,Plata,Simon,Brandhuber,Alemania,134.0,152.0,286.0,2022,Alemania,134 + 152 = 286
67 kg (30.05),2022,Masculino,Plata,Shota,Mishvelidze,Georgia,142.0,165.0,307.0,2022,Georgia,142 + 165 = 307
73 kg (31.05),2022,Masculino,Plata,Kaji,Asanidze,Georgia,150.0,176.0,326.0,2022,Georgia,150 + 176 = 326
81 kg (01.06),2022,Masculino,Plata,Andrés,Mata Pérez,España,160.0,186.0,346.0,2022,España,160 + 186 = 346
89 kg (02.06),2022,Masculino,Plata,Karlos,Nasar,Bulgaria,171.0,211.0,382.0,2022,Bulgaria,171 + 211 = 382
96 kg (03.06),2022,Masculino,Plata,Ara,Aghanian,Armenia,170.0,205.0,375.0,2022,Armenia,170 + 205 = 375
102 kg (04.06),2022,Masculino,Plata,Samvel,Gasparian,Armenia,176.0,214.0,390.0,2022,Armenia,176 + 214 = 390
109 kg (04.06),2022,Masculino,Plata,Guiorgui,Chjeidze,Georgia,174.0,210.0,384.0,2022,Georgia,174 + 210 = 384
+109 kg (05.06),2022,Masculino,Plata,Varazdat,Lalayan,Armenia,211.0,240.0,451.0,2022,Armenia,211 + 240 = 451
45 kg (28.05),2022,Femenino,Plata,Cansu,Bektaş,Turquía,68.0,85.0,153.0,2022,Turquía,68 + 85 = 153
49 kg (28.05),2022,Femenino,Plata,Anhelina,Lomachynska,Ucrania,80.0,87.0,167.0,2022,Ucrania,80 + 87 = 167
55 kg (29.05),2022,Femenino,Plata,Kamila,Konotop,Ucrania,94.0,11.0,207.0,2022,Ucrania,94 + 11 = 207
59 kg (30.05),2022,Femenino,Plata,Lucrezia,Magistris,Italia,98.0,114.0,212.0,2022,Italia,98 + 114 = 212
64 kg (31.05),2022,Femenino,Plata,Nuray,Güngör,Turquía,99.0,120.0,219.0,2022,Turquía,99 + 120 = 219
71 kg (01.06),2022,Femenino,Plata,Lisa,Marie Schweizer,Alemania,103.0,120.0,223.0,2022,Alemania,103 + 120 = 223
76 kg (02.06),2022,Femenino,Plata,Daniela,Ivanova,Letonia,96.0,126.0,222.0,2022,Letonia,96 + 126 = 222
81 kg (03.06),2022,Femenino,Plata,Alina,Marushchak,Ucrania,108.0,127.0,235.0,2022,Ucrania,108 + 127 = 235
87 kg (04.06),2022,Femenino,Plata,Anastasiya,Manievska,Ucrania,107.0,130.0,237.0,2022,Ucrania,107 + 130 = 237
+87 kg (05.06),2022,Femenino,Plata,Melike,Günal,Turquía,108.0,134.0,242.0,2022,Turquía,108 + 134 = 242
55 kg (16.04),2023,Masculino,Plata,Ramin,Shamilishvili,Georgia,113.0,136.0,249.0,2023,Georgia,113 + 136 = 249
61 kg (16.04),2023,Masculino,Plata,Sergio,Massidda,Italia,130.0,162.0,292.0,2023,Italia,130 + 162 = 292
67 kg (17.04),2023,Masculino,Plata,Acorán,Hernández Mendoza,España,140.0,165.0,305.0,2023,España,140 + 165 = 305
73 kg (18.04),2023,Masculino,Plata,David,Sánchez López,España,150.0,185.0,335.0,2023,España,150 + 185 = 335
81 kg (19.04),2023,Masculino,Plata,Batu,Han Yüksel,Turquía,152.0,187.0,339.0,2023,Turquía,152 + 187 = 339
89 kg (20.04),2023,Masculino,Plata,Andranik,Karapetian,Armenia,178.0,196.0,374.0,2023,Armenia,178 + 196 = 374
96 kg (21.04),2023,Masculino,Plata,Ara,Aghanian,Armenia,165.0,199.0,364.0,2023,Armenia,165 + 199 = 364
102 kg (22.04),2023,Masculino,Plata,Irakli,Chjeidze,Georgia,173.0,214.0,387.0,2023,Georgia,173 + 214 = 387
109 kg (22.04),2023,Masculino,Plata,Guiorgui,Chjeidze,Georgia,173.0,208.0,381.0,2023,Georgia,173 + 208 = 381
+109 kg (23.04),2023,Masculino,Plata,Varazdat,Lalayan,Armenia,212.0,250.0,462.0,2023,Armenia,212 + 250 = 462
45 kg (15.04),2023,Femenino,Plata,Adriana,Pană,Rumania,70.0,83.0,153.0,2023,Rumania,70 + 83 = 153
49 kg (15.04),2023,Femenino,Plata,Giulia,Imperio,Italia,83.0,100.0,183.0,2023,Italia,83 + 100 = 183
55 kg (16.04),2023,Femenino,Plata,Svitlana,Samuliak,Ucrania,90.0,109.0,199.0,2023,Ucrania,90 + 109 = 199
59 kg (17.04),2023,Femenino,Plata,Nina,Sterckx,Bélgica,93.0,116.0,209.0,2023,Bélgica,93 + 116 = 209
64 kg (18.04),2023,Femenino,Plata,Mariya,Hanhur,Ucrania,98.0,116.0,214.0,2023,Ucrania,98 + 116 = 214
71 kg (19.04),2023,Femenino,Plata,Giulia,Miserendino,Italia,105.0,125.0,230.0,2023,Italia,105 + 125 = 230
76 kg (20.04),2023,Femenino,Plata,Tatev,Hakobian,Armenia,104.0,122.0,226.0,2023,Armenia,104 + 122 = 226
81 kg (21.04),2023,Femenino,Plata,Dilara,Narin,Turquía,101.0,134.0,235.0,2023,Turquía,101 + 134 = 235
87 kg (22.04),2023,Femenino,Plata,Anastasiya,Manievska,Ucrania,108.0,130.0,238.0,2023,Ucrania,108 + 130 = 238
+87 kg (23.04),2023,Femenino,Plata,Anastasiya,Hotfrid,Georgia,117.0,135.0,252.0,2023,Georgia,117 + 135 = 252
55 kg (13.02),2024,Masculino,Plata,Ramin,Shamilishvili,Georgia,111.0,130.0,241.0,2024,Georgia,111 + 130 = 241
61 kg (13.02),2024,Masculino,Plata,Ivan,Dimov,Bulgaria,130.0,150.0,280.0,2024,Bulgaria,130 + 150 = 280
67 kg (14.02),2024,Masculino,Plata,Kaan,Kahriman,Turquía,142.0,168.0,310.0,2024,Turquía,142 + 168 = 310
73 kg (15.02),2024,Masculino,Plata,Muhammed,Özbek,Turquía,150.0,186.0,336.0,2024,Turquía,150 + 186 = 336
81 kg (16.02),2024,Masculino,Plata,Kristi,Ramadani,Albania,151.0,190.0,341.0,2024,Albania,151 + 190 = 341
89 kg (17.02),2024,Masculino,Plata,Antonino,Pizzolato,Italia,170.0,210.0,380.0,2024,Italia,170 + 210 = 380
96 kg (18.02),2024,Masculino,Plata,Davit,Hovhannisian,Armenia,169.0,205.0,374.0,2024,Armenia,169 + 205 = 374
102 kg (19.02),2024,Masculino,Plata,Samvel,Gasparian,Armenia,180.0,216.0,396.0,2024,Armenia,180 + 216 = 396
109 kg (19.02),2024,Masculino,Plata,Jristo,Jristov,Bulgaria,175.0,205.0,380.0,2024,Bulgaria,175 + 205 = 380
+109 kg (20.02),2024,Masculino,Plata,Simon,Martirosian,Armenia,190.0,247.0,437.0,2024,Armenia,190 + 247 = 437
45 kg (12.02),2024,Femenino,Plata,Gamze,Altun,Turquía,65.0,92.0,157.0,2024,Turquía,65 + 92 = 157
49 kg (12.02),2024,Femenino,Plata,Oliwia,Drzazga,Polonia,74.0,96.0,170.0,2024,Polonia,74 + 96 = 170
55 kg (13.02),2024,Femenino,Plata,Celine,Delia,Italia,84.0,111.0,195.0,2024,Italia,84 + 111 = 195
59 kg (14.02),2024,Femenino,Plata,Dora,Tchakounté,Francia,98.0,117.0,215.0,2024,Francia,98 + 117 = 215
64 kg (15.02),2024,Femenino,Plata,Svitlana,Samuliak,Ucrania,101.0,118.0,219.0,2024,Ucrania,101 + 118 = 219
71 kg (16.02),2024,Femenino,Plata,Siuzanna,Valodzka,AIN,105.0,130.0,235.0,2024,AIN,105 + 130 = 235
76 kg (17.02),2024,Femenino,Plata,Nikol,Rubanovich,Israel,99.0,117.0,216.0,2024,Israel,99 + 117 = 216
81 kg (18.02),2024,Femenino,Plata,Elena,Erighina,Moldavia,103.0,131.0,234.0,2024,Moldavia,103 + 131 = 234
87 kg (19.02),2024,Femenino,Plata,Anastasiya,Manievska,Ucrania,102.0,128.0,230.0,2024,Ucrania,102 + 128 = 230
+87 kg (20.02),2024,Femenino,Plata,Anastasiya,Hotfrid,Georgia,117.0,140.0,257.0,2024,Georgia,117 + 140 = 257
55 kg (04.04),2021,Masculino,Bronce,Dmytro,Voronovsky,Ucrania,110.0,137.0,247.0,2021,Ucrania,110 + 137 = 247
61 kg (04.04),2021,Masculino,Bronce,Ferdi,Hardal,Turquía,130.0,157.0,287.0,2021,Turquía,130 + 157 = 287
67 kg (05.04),2021,Masculino,Bronce,Valentin,Guenchev,Bulgaria,138.0,177.0,315.0,2021,Bulgaria,138 + 177 = 315
73 kg (06.04),2021,Masculino,Bronce,Briken,Calja,Albania,152.0,184.0,336.0,2021,Albania,152 + 184 = 336
81 kg (07.04),2021,Masculino,Bronce,Ritvars,Suharevs,Letonia,157.0,190.0,347.0,2021,Letonia,157 + 190 = 347
89 kg (08.04),2021,Masculino,Bronce,Andranik,Karapetian,Armenia,170.0,195.0,365.0,2021,Armenia,170 + 195 = 365
96 kg (09.04),2021,Masculino,Bronce,Hakob,Mkrtchian,Armenia,160.0,212.0,372.0,2021,Armenia,160 + 212 = 372
102 kg (10.04),2021,Masculino,Bronce,Dadaş,Dadaşbəyli,Azerbaiyán,177.0,202.0,379.0,2021,Azerbaiyán,177 + 202 = 379
109 kg (10.04),2021,Masculino,Bronce,Timur,Naniyev,Rusia,184.0,217.0,401.0,2021,Rusia,184 + 217 = 401
+109 kg (11.04),2021,Masculino,Bronce,Varazdat,Lalayan,Armenia,205.0,240.0,445.0,2021,Armenia,205 + 240 = 445
45 kg (03.04),2021,Femenino,Bronce,Melisa,Güneş,Turquía,68.0,83.0,151.0,2021,Turquía,68 + 83 = 151
49 kg (03.04),2021,Femenino,Bronce,Mihaela,Cambei,Rumania,80.0,100.0,180.0,2021,Rumania,80 + 100 = 180
55 kg (04.04),2021,Femenino,Bronce,Nina,Sterckx,Bélgica,88.0,109.0,197.0,2021,Bélgica,88 + 109 = 197
59 kg (05.04),2021,Femenino,Bronce,Dora,Tchakounté,Francia,95.0,115.0,210.0,2021,Francia,95 + 115 = 210
64 kg (06.04),2021,Femenino,Bronce,Anastasiya,Anzorova,Rusia,100.0,122.0,222.0,2021,Rusia,100 + 122 = 222
71 kg (07.04),2021,Femenino,Bronce,Raluca,Olaru,Rumania,98.0,120.0,218.0,2021,Rumania,98 + 120 = 218
76 kg (08.04),2021,Femenino,Bronce,Anastasiya,Romanova,Rusia,111.0,132.0,243.0,2021,Rusia,111 + 132 = 243
81 kg (09.04),2021,Femenino,Bronce,Liana,Guiurdzhian,Armenia,98.0,129.0,227.0,2021,Armenia,98 + 129 = 227
87 kg (10.04),2021,Femenino,Bronce,Daria,Riazanova,Rusia,105.0,135.0,240.0,2021,Rusia,105 + 135 = 240
+87 kg (11.04),2021,Femenino,Bronce,Melike,Günal,Turquía,108.0,135.0,243.0,2021,Turquía,108 + 135 = 243
55 kg (29.05),2022,Masculino,Bronce,Dmytro,Voronovsky,Ucrania,108.0,134.0,242.0,2022,Ucrania,108 + 134 = 242
61 kg (29.05),2022,Masculino,Bronce,Gabriel,Marinov,Bulgaria,122.0,157.0,279.0,2022,Bulgaria,122 + 157 = 279
67 kg (30.05),2022,Masculino,Bronce,Acorán,Hernández Mendoza,España,138.0,161.0,299.0,2022,España,138 + 161 = 299
73 kg (31.05),2022,Masculino,Bronce,Piotr,Kudłaszyk,Polonia,143.0,181.0,324.0,2022,Polonia,143 + 181 = 324
81 kg (01.06),2022,Masculino,Bronce,Bozhidar,Andreev,Bulgaria,153.0,190.0,343.0,2022,Bulgaria,153 + 190 = 343
89 kg (02.06),2022,Masculino,Bronce,Revaz,Davitadze,Georgia,171.0,198.0,369.0,2022,Georgia,171 + 198 = 369
96 kg (03.06),2022,Masculino,Bronce,Romain,Imadouchène,Francia,160.0,210.0,370.0,2022,Francia,160 + 210 = 370
102 kg (04.06),2022,Masculino,Bronce,Marcos,Ruiz Velasco,España,176.0,208.0,384.0,2022,España,176 + 208 = 384
109 kg (04.06),2022,Masculino,Bronce,Arsen,Martirosian,Armenia,170.0,201.0,371.0,2022,Armenia,170 + 201 = 371
+109 kg (05.06),2022,Masculino,Bronce,Gor,Minasian,Armenia,210.0,236.0,446.0,2022,Armenia,210 + 236 = 446
45 kg (28.05),2022,Femenino,Bronce,Radmila,Zagorac,Serbia,68.0,84.0,152.0,2022,Serbia,68 + 84 = 152
49 kg (28.05),2022,Femenino,Bronce,María,Giménez-Guervos,España,72.0,91.0,163.0,2022,España,72 + 91 = 163
55 kg (29.05),2022,Femenino,Bronce,Nina,Sterckx,Bélgica,94.0,111.0,205.0,2022,Bélgica,94 + 111 = 205
59 kg (30.05),2022,Femenino,Bronce,Ine,Andersson,Noruega,90.0,118.0,208.0,2022,Noruega,90 + 118 = 208
64 kg (31.05),2022,Femenino,Bronce,Vicky,Graillot,Francia,89.0,119.0,208.0,2022,Francia,89 + 119 = 208
71 kg (01.06),2022,Femenino,Bronce,Monika,Marach,Polonia,99.0,116.0,215.0,2022,Polonia,99 + 116 = 215
76 kg (02.06),2022,Femenino,Bronce,Dilara,Ucan,Turquía,99.0,121.0,220.0,2022,Turquía,99 + 121 = 220
81 kg (03.06),2022,Femenino,Bronce,Dilara,Narin,Turquía,99.0,133.0,232.0,2022,Turquía,99 + 133 = 232
87 kg (04.06),2022,Femenino,Bronce,Anastasiya,Hotfrid,Georgia,106.0,129.0,235.0,2022,Georgia,106 + 129 = 235
+87 kg (05.06),2022,Femenino,Bronce,Sarah,Fischer,Austria,102.0,128.0,230.0,2022,Austria,102 + 128 = 230
55 kg (16.04),2023,Masculino,Bronce,Valentin,Iancu,Rumania,109.0,136.0,245.0,2023,Rumania,109 + 136 = 245
61 kg (16.04),2023,Masculino,Bronce,Ivan,Dimov,Bulgaria,127.0,150.0,277.0,2023,Bulgaria,127 + 150 = 277
67 kg (17.04),2023,Masculino,Bronce,Kaan,Kahriman,Turquía,141.0,160.0,301.0,2023,Turquía,141 + 160 = 301
73 kg (18.04),2023,Masculino,Bronce,Mirko,Zanni,Italia,155.0,180.0,335.0,2023,Italia,155 + 180 = 335
81 kg (19.04),2023,Masculino,Bronce,Rafik,Harutiunian,Armenia,150.0,187.0,337.0,2023,Armenia,150 + 187 = 337
89 kg (20.04),2023,Masculino,Bronce,Marin,Robu,Moldavia,166.0,198.0,364.0,2023,Moldavia,166 + 198 = 364
96 kg (21.04),2023,Masculino,Bronce,Cristiano,Ficco,Italia,165.0,198.0,363.0,2023,Italia,165 + 198 = 363
102 kg (22.04),2023,Masculino,Bronce,Tudor,Bratu,Moldavia,170.0,204.0,374.0,2023,Moldavia,170 + 204 = 374
109 kg (22.04),2023,Masculino,Bronce,Petros,Petrosian,Armenia,165.0,214.0,379.0,2023,Armenia,165 + 214 = 379
+109 kg (23.04),2023,Masculino,Bronce,Simon,Martirosian,Armenia,195.0,245.0,440.0,2023,Armenia,195 + 245 = 440
45 kg (15.04),2023,Femenino,Bronce,Marta,García Rincón,España,68.0,85.0,153.0,2023,España,68 + 85 = 153
49 kg (15.04),2023,Femenino,Bronce,Anhelina,Lomachynska,Ucrania,81.0,95.0,176.0,2023,Ucrania,81 + 95 = 176
55 kg (16.04),2023,Femenino,Bronce,Izabella,Yailian,Armenia,87.0,109.0,196.0,2023,Armenia,87 + 109 = 196
59 kg (17.04),2023,Femenino,Bronce,Nadiya,Shpylka,Ucrania,93.0,114.0,207.0,2023,Ucrania,93 + 114 = 207
64 kg (18.04),2023,Femenino,Bronce,Zoe,Smith,Reino Unido,93.0,121.0,214.0,2023,Reino Unido,93 + 121 = 214
71 kg (19.04),2023,Femenino,Bronce,Sarah,Davies,Reino Unido,100.0,126.0,226.0,2023,Reino Unido,100 + 126 = 226
76 kg (20.04),2023,Femenino,Bronce,Daniela,Ivanova,Letonia,96.0,126.0,222.0,2023,Letonia,96 + 126 = 222
81 kg (21.04),2023,Femenino,Bronce,Elena,Erighina,Moldavia,104.0,130.0,234.0,2023,Moldavia,104 + 130 = 234
87 kg (22.04),2023,Femenino,Bronce,Hripsime,Jurshudian,Armenia,107.0,120.0,227.0,2023,Armenia,107 + 120 = 227
+87 kg (23.04),2023,Femenino,Bronce,Valentyna,Kisil,Ucrania,111.0,133.0,244.0,2023,Ucrania,111 + 133 = 244
55 kg (13.02),2024,Masculino,Bronce,Dzhan,Zarkov,Bulgaria,102.0,133.0,235.0,2024,Bulgaria,102 + 133 = 235
61 kg (13.02),2024,Masculino,Bronce,Shota,Mishvelidze,Georgia,125.0,147.0,272.0,2024,Georgia,125 + 147 = 272
67 kg (14.02),2024,Masculino,Bronce,Ferdi,Hardal,Turquía,135.0,169.0,304.0,2024,Turquía,135 + 169 = 304
73 kg (15.02),2024,Masculino,Bronce,Ritvars,Suharevs,Letonia,154.0,177.0,331.0,2024,Letonia,154 + 177 = 331
81 kg (16.02),2024,Masculino,Bronce,Rafik,Harutiunian,Armenia,154.0,182.0,336.0,2024,Armenia,154 + 182 = 336
89 kg (17.02),2024,Masculino,Bronce,Marin,Robu,Moldavia,171.0,207.0,378.0,2024,Moldavia,171 + 207 = 378
96 kg (18.02),2024,Masculino,Bronce,Pavel,Jadasevich,AIN,165.0,195.0,360.0,2024,AIN,165 + 195 = 360
102 kg (19.02),2024,Masculino,Bronce,Garik,Karapetian,Armenia,182.0,212.0,394.0,2024,Armenia,182 + 212 = 394
109 kg (19.02),2024,Masculino,Bronce,Matthäus,Hofmann,Alemania,172.0,206.0,378.0,2024,Alemania,172 + 206 = 378
+109 kg (20.02),2024,Masculino,Bronce,Eduard,Ziaziulin,AIN,195.0,241.0,436.0,2024,AIN,195 + 241 = 436
45 kg (12.02),2024,Femenino,Bronce,Marta,García Rincón,España,72.0,84.0,156.0,2024,España,72 + 84 = 156
49 kg (12.02),2024,Femenino,Bronce,Tham,Nguyen,Irlanda,74.0,95.0,169.0,2024,Irlanda,74 + 95 = 169
55 kg (13.02),2024,Femenino,Bronce,Sol,Anette Waaler,Noruega,86.0,104.0,190.0,2024,Noruega,86 + 104 = 190
59 kg (14.02),2024,Femenino,Bronce,Saara,Retulainen,Finlandia,95.0,119.0,214.0,2024,Finlandia,95 + 119 = 214
64 kg (15.02),2024,Femenino,Bronce,Wiktoria,Wołk,Polonia,94.0,121.0,215.0,2024,Polonia,94 + 121 = 215
71 kg (16.02),2024,Femenino,Bronce,Lisa,Marie Schweizer,Alemania,107.0,124.0,231.0,2024,Alemania,107 + 124 = 231
76 kg (17.02),2024,Femenino,Bronce,Lara,Dancz,Alemania,101.0,114.0,215.0,2024,Alemania,101 + 114 = 215
81 kg (18.02),2024,Femenino,Bronce,Dilara,Narin,Turquía,97.0,125.0,222.0,2024,Turquía,97 + 125 = 222
87 kg (19.02),2024,Femenino,Bronce,Hripsime,Jurshudian,Armenia,105.0,122.0,227.0,2024,Armenia,105 + 122 = 227
+87 kg (20.02),2024,Femenino,Bronce,Fatmagül,Çevik,Turquía,107.0,131.0,238.0,2024,Turquía,107 + 131 = 238
