Evento,Año,Género,Medalla,Nombre,Apellido,Pais,Arrancada,Dos_Tiempos,Total
96 kg (09.04),2021,Masculino,Bronce,Hakob,Mkrtchian,Armenia,160.0,212.0,372.0
102 kg (10.04),2021,Masculino,Bronce,Dadaş,Dadaşbəyli,Azerbaiyán,177.0,202.0,379.0
109 kg (10.04),2021,Masculino,Bronce,Timur,Naniyev,Rusia,184.0,217.0,401.0
+109 kg (11.04),2021,Masculino,Bronce,Varazdat,Lalayan,Armenia,205.0,240.0,445.0
45 kg (03.04),2021,Femenino,Bronce,Melisa,Güneş,Turquía,68.0,83.0,151.0
49 kg (03.04),2021,Femenino,Bronce,Mihaela,Cambei,Rumania,80.0,100.0,180.0
55 kg (04.04),2021,Femenino,Bronce,Nina,Sterckx,Bélgica,88.0,109.0,197.0
59 kg (05.04),2021,Femenino,Bronce,Dora,Tchakounté,Francia,95.0,115.0,210.0
64 kg (06.04),2021,Femenino,Bronce,Anastasiya,Anzorova,Rusia,100.0,122.0,222.0
71 kg (07.04),2021,Femenino,Bronce,Raluca,Olaru,Rumania,98.0,120.0,218.0
76 kg (08.04),2021,Femenino,Bronce,Anastasiya,Romanova,Rusia,111.0,132.0,243.0
81 kg (09.04),2021,Femenino,Bronce,Liana,Guiurdzhian,Armenia,98.0,129.0,227.0
87 kg (10.04),2021,Femenino,Bronce,Daria,Riazanova,Rusia,105.0,135.0,240.0
+87 kg (11.04),2021,Femenino,Bronce,Melike,Günal,Turquía,108.0,135.0,243.0
55 kg (29.05),2022,Masculino,Bronce,Dmytro,Voronovsky,Ucrania,108.0,134.0,242.0
61 kg (29.05),2022,Masculino,Bronce,Gabriel,Marinov,Bulgaria,122.0,157.0,279.0
67 kg (30.05),2022,Masculino,Bronce,Acorán,Hernández Mendoza,España,138.0,161.0,299.0
73 kg (31.05),2022,Masculino,Bronce,Piotr,Kudłaszyk,Polonia,143.0,181.0,324.0
81 kg (01.06),2022,Masculino,Bronce,Bozhidar,Andreev,Bulgaria,153.0,190.0,343.0
89 kg (02.06),2022,Masculino,Bronce,Revaz,Davitadze,Georgia,171.0,198.0,369.0
96 kg (03.06),2022,Masculino,Bronce,Romain,Imadouchène,Francia,160.0,210.0,370.0
102 kg (04.06),2022,Masculino,Bronce,Marcos,Ruiz Velasco,España,176.0,208.0,384.0
109 kg (04.06),2022,Masculino,Bronce,Arsen,Martirosian,Armenia,170.0,201.0,371.0
+109 kg (05.06),2022,Masculino,Bronce,Gor,Minasian,Armenia,210.0,236.0,446.0
45 kg (28.05),2022,Femenino,Bronce,Radmila,Zagorac,Serbia,68.0,84.0,152.0
49 kg (28.05),2022,Femenino,Bronce,María,Giménez-Guervos,España,72.0,91.0,163.0
55 kg (29.05),2022,Femenino,Bronce,Nina,Sterckx,Bélgica,94.0,111.0,205.0
59 kg (30.05),2022,Femenino,Bronce,Ine,Andersson,Noruega,90.0,118.0,208.0
64 kg (31.05),2022,Femenino,Bronce,Vicky,Graillot,Francia,89.0,119.0,208.0
71 kg (01.06),2022,Femenino,Bronce,Monika,Marach,Polonia,99.0,116.0,215.0
76 kg (02.06),2022,Femenino,Bronce,Dilara,Ucan,Turquía,99.0,121.0,220.0
81 kg (03.06),2022,Femenino,Bronce,Dilara,Narin,Turquía,99.0,133.0,232.0
87 kg (04.06),2022,Femenino,Bronce,Anastasiya,Hotfrid,Georgia,106.0,129.0,235.0
+87 kg (05.06),2022,Femenino,Bronce,Sarah,Fischer,Austria,102.0,128.0,230.0
55 kg (16.04),2023,Masculino,Bronce,Valentin,Iancu,Rumania,109.0,136.0,245.0
61 kg (16.04),2023,Masculino,Bronce,Ivan,Dimov,Bulgaria,127.0,150.0,277.0
67 kg (17.04),2023,Masculino,Bronce,Kaan,Kahriman,Turquía,141.0,160.0,301.0
73 kg (18.04),2023,Masculino,Bronce,Mirko,Zanni,Italia,155.0,180.0,335.0
81 kg (19.04),2023,Masculino,Bronce,Rafik,Harutiunian,Armenia,150.0,187.0,337.0
89 kg (20.04),2023,Masculino,Bronce,Marin,Robu,Moldavia,166.0,198.0,364.0
96 kg (21.04),2023,Masculino,Bronce,Cristiano,Ficco,Italia,165.0,198.0,363.0
102 kg (22.04),2023,Masculino,Bronce,Tudor,Bratu,Moldavia,170.0,204.0,374.0
109 kg (22.04),2023,Masculino,Bronce,Petros,Petrosian,Armenia,165.0,214.0,379.0
+109 kg (23.04),2023,Masculino,Bronce,Simon,Martirosian,Armenia,195.0,245.0,440.0
45 kg (15.04),2023,Femenino,Bronce,Marta,García Rincón,España,68.0,85.0,153.0
49 kg (15.04),2023,Femenino,Bronce,Anhelina,Lomachynska,Ucrania,81.0,95.0,176.0
55 kg (16.04),2023,Femenino,Bronce,Izabella,Yailian,Armenia,87.0,109.0,196.0
59 kg (17.04),2023,Femenino,Bronce,Nadiya,Shpylka,Ucrania,93.0,114.0,207.0
64 kg (18.04),2023,Femenino,Bronce,Zoe,Smith,Reino Unido,93.0,121.0,214.0
71 kg (19.04),2023,Femenino,Bronce,Sarah,Davies,Reino Unido,100.0,126.0,226.0
76 kg (20.04),2023,Femenino,Bronce,Daniela,Ivanova,Letonia,96.0,126.0,222.0
81 kg (21.04),2023,Femenino,Bronce,Elena,Erighina,Moldavia,104.0,130.0,234.0
87 kg (22.04),2023,Femenino,Bronce,Hripsime,Jurshudian,Armenia,107.0,120.0,227.0
+87 kg (23.04),2023,Femenino,Bronce,Valentyna,Kisil,Ucrania,111.0,133.0,244.0
55 kg (13.02),2024,Masculino,Bronce,Dzhan,Zarkov,Bulgaria,102.0,133.0,235.0
61 kg (13.02),2024,Masculino,Bronce,Shota,Mishvelidze,Georgia,125.0,147.0,272.0
67 kg (14.02),2024,Masculino,Bronce,Ferdi,Hardal,Turquía,135.0,169.0,304.0
73 kg (15.02),2024,Masculino,Bronce,Ritvars,Suharevs,Letonia,154.0,177.0,331.0
81 kg (16.02),2024,Masculino,Bronce,Rafik,Harutiunian,Armenia,154.0,182.0,336.0
89 kg (17.02),2024,Masculino,Bronce,Marin,Robu,Moldavia,171.0,207.0,378.0
96 kg (18.02),2024,Masculino,Bronce,Pavel,Jadasevich,AIN,165.0,195.0,360.0
102 kg (19.02),2024,Masculino,Bronce,Garik,Karapetian,Armenia,182.0,212.0,394.0
109 kg (19.02),2024,Masculino,Bronce,Matthäus,Hofmann,Alemania,172.0,206.0,378.0
+109 kg (20.02),2024,Masculino,Bronce,Eduard,Ziaziulin,AIN,195.0,241.0,436.0
45 kg (12.02),2024,Femenino,Bronce,Marta,García Rincón,España,72.0,84.0,156.0
49 kg (12.02),2024,Femenino,Bronce,Tham,Nguyen,Irlanda,74.0,95.0,169.0
55 kg (13.02),2024,Femenino,Bronce,Sol,Anette Waaler,Noruega,86.0,104.0,190.0
59 kg (14.02),2024,Femenino,Bronce,Saara,Retulainen,Finlandia,95.0,119.0,214.0
64 kg (15.02),2024,Femenino,Bronce,Wiktoria,Wołk,Polonia,94.0,121.0,215.0
71 kg (16.02),2024,Femenino,Bronce,Lisa,Marie Schweizer,Alemania,107.0,124.0,231.0
76 kg (17.02),2024,Femenino,Bronce,Lara,Dancz,Alemania,101.0,114.0,215.0
81 kg (18.02),2024,Femenino,Bronce,Dilara,Narin,Turquía,97.0,125.0,222.0
87 kg (19.02),2024,Femenino,Bronce,Hripsime,Jurshudian,Armenia,105.0,122.0,227.0
+87 kg (20.02),2024,Femenino,Bronce,Fatmagül,Çevik,Turquía,107.0,131.0,238.0
